#SMILES	StructureSource	IdentifierType	IdentifierValue
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C([C@@H](N)C3(CCOCC3)C=C)=O	TABLE-US-00002:6:USRE044186-20130430-C00089.CDX:R:USRE044186-20130430-C00096.CDX	Example	36
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C([C@@H](N)C(C)(C)C=C)=O	TABLE-US-00002:8:USRE044186-20130430-C00089.CDX:R:USRE044186-20130430-C00098.CDX	Example	38
C1=CC(=CC=C1)C2(CCCC2)C(C(=O)O)NC(=O)OC(C)(C)C	USRE044186-20130430-C00153.CDX	Example	39
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C([C@@H](N)C(CC)(CC)C=C)=O	TABLE-US-00002:9:USRE044186-20130430-C00089.CDX:R:USRE044186-20130430-C00099.CDX	Example	39
[C@@H](N)(C(N1[C@@H](C[C@H]2[C@@H]1C2)C#N)=O)C3(CCCC3)CO	TABLE-US-00003:0:USRE044186-20130430-C00114.CDX:R:USRE044186-20130430-C00115.CDX	Example	44
C1CC(CCC1)(C(NC(=O)OC(C)(C)C)C(O)=O)C	USRE044186-20130430-C00188.CDX	Example	45
[C@@H](N)(C(N1[C@@H](C[C@H]2[C@@H]1C2)C#N)=O)C3(CCC3)CO	TABLE-US-00003:1:USRE044186-20130430-C00114.CDX:R:USRE044186-20130430-C00116.CDX	Example	45
[C@@H](N)(C(N1[C@@H](C[C@H]2[C@@H]1C2)C#N)=O)C3(CCCCC3)CO	TABLE-US-00003:2:USRE044186-20130430-C00114.CDX:R:USRE044186-20130430-C00117.CDX	Example	46
[C@@H](N)(C(N1[C@@H](C[C@H]2[C@@H]1C2)C#N)=O)C3(CCCCCC3)CO	TABLE-US-00003:3:USRE044186-20130430-C00114.CDX:R:USRE044186-20130430-C00118.CDX	Example	47
[C@@H](N)(C(N1[C@@H](C[C@H]2[C@@H]1C2)C#N)=O)[C@@]3(C[C@H]([C@H](C3)C)C)CO	TABLE-US-00003:4:USRE044186-20130430-C00114.CDX:R:USRE044186-20130430-C00119.CDX	Example	48
[C@@H](C(N1[C@@H](C[C@H]2[C@@H]1C2)C#N)=O)(C(CO)(C)C)N	USRE044186-20130430-C00125.CDX	Example	57
C1CCCC1([C@H](N)C(=O)N2[C@@H]3[C@H](C[C@H]2C#N)C3)C(C)C	USRE044186-20130430-C00126.CDX	Example	58
C1[C@@H]2C[C@@H]3C[C@H]1CC(C2)(C3)[C@H](N)C(N4[C@@H]5[C@H](C[C@H]4C#N)C5)=O.FC(C(=O)O)(F)F	USRE044186-20130430-C00135.CDX	Example	59
N1([C@@H]2[C@H](C[C@H]1C#N)C2)C(=O)[C@]3(NCCC3(C)C)[H]	USRE044186-20130430-C00161.CDX	Example	67
[C@@H]12CN([C@@H]([C@@H]1C2)C#N)C([C@@H](N)C3CCCCC3)=O	USRE044186-20130430-C00181.CDX	Example	73
[C@@H]12CN([C@@H]([C@@H]1C2)C#N)C([C@@H](N)C(C)(C)C)=O	USRE044186-20130430-C00182.CDX	Example	74
[C@@H]12CN([C@@H]([C@@H]1C2)C#N)C([C@@H](N)C(C)C)=O	USRE044186-20130430-C00183.CDX	Example	75
