"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"
"CHEMBL199297"	""	"None"	"286.40"	"0"	"2.24"	"24"	"N[C@@H](Cc1ccc2ccccc2c1)C(=O)N1CCSC1"	"Ki"	"'='"	"8900.0"	"nM"	"5.05"	""	""	"UO_0000065"	"17.63"	"0.34"	"2.81"	"10.90"	"0"	"CHEMBL863902"	"Inhibition of human DPP4"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1148544"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""
"CHEMBL1230909"	""	"None"	"326.45"	"0"	"0.38"	"2OAE"	"O=C(NC[C@@H]1CN[C@H](C(=O)N2CCSC2)C1)c1cscn1"	"Ki"	"'='"	"3.4"	"nM"	"8.47"	""	""	"UO_0000065"	"25.94"	"0.55"	"8.09"	"11.39"	"0"	"CHEMBL3074800"	"Inhibition of dipeptidyl peptidase 4 (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3046539"	"1"	"Scientific Literature"	"Med Chem Res"	"2013"	"None"	""	""
"CHEMBL1910126"	""	"None"	"470.36"	"0"	"3.49"	"(+)-3dd, atropisomer"	"Cc1nc2c(c(-c3ccc(Cl)cc3Cl)c1CN)CN(CC(=O)NCc1cccnc1)C2=O"	"Ki"	"'='"	"0.26"	"nM"	"9.59"	""	""	"UO_0000065"	"20.38"	"0.41"	"6.10"	"9.47"	"0"	"CHEMBL1912807"	"Inhibition of DPP4"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909536"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""
"CHEMBL1910123"	""	"None"	"433.34"	"0"	"3.40"	"(+)-3aa, atropisomer"	"Cc1nc2c(c(-c3ccc(Cl)cc3Cl)c1CN)CN(CC(=O)N1CCCC1)C2=O"	"Ki"	"'='"	"0.3"	"nM"	"9.52"	""	""	"UO_0000065"	"21.98"	"0.45"	"6.12"	"11.97"	"0"	"CHEMBL1912807"	"Inhibition of DPP4"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909536"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""
"CHEMBL1909987"	""	"None"	"398.34"	"1"	"5.34"	"5a"	"Cc1nc2c(c(-c3ccc(Cl)cc3Cl)c1CN)CN(Cc1ccccc1)C2"	"Ki"	"'='"	"51.5"	"nM"	"7.29"	""	""	"UO_0000065"	"18.30"	"0.37"	"1.95"	"17.29"	"0"	"CHEMBL1912807"	"Inhibition of DPP4"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909536"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""
"CHEMBL92706"	""	"None"	"223.32"	"0"	"1.26"	"11"	"CCC(C)[C@H](N)C(=O)N1CCC[C@@]1(C)C#N"	"Ki"	"'='"	"4200.0"	"nM"	"5.38"	""	""	"UO_0000065"	"24.08"	"0.46"	"4.12"	"7.67"	"0"	"CHEMBL664933"	"Inhibition of human Dipeptidyl peptidase IV"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1128930"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1996"	"None"	""	""
"CHEMBL2334692"	""	"None"	"366.47"	"0"	"1.31"	"1l"	"N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C1CCN(C(=O)Cc2ccccc2)CC1"	"Ki"	"'='"	"18.0"	"nM"	"7.75"	""	""	"UO_0000065"	"21.13"	"0.39"	"6.43"	"8.56"	"0"	"CHEMBL2344422"	"Inhibition of human DPP4 using gly-pro-para-nitroanilide as substrate"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2331330"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2013"	"None"	""	""
"CHEMBL2441839"	""	"None"	"406.31"	"0"	"3.96"	"2i, More active atropisomer"	"Cc1nc2c(c(-c3ccc(Cl)cc3Cl)c1CN)C(=O)N(C[C@@H]1CCCO1)C2"	"Ki"	"'='"	"1.0"	"nM"	"9.00"	""	""	"UO_0000065"	"22.15"	"0.46"	"5.04"	"13.15"	"0"	"CHEMBL2444439"	"Inhibition of human DPP4 assessed as Gly-Pro-pNA cleavage preincubated for 40 mins followed by substrate addition"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2439999"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""
"CHEMBL1215088"	""	"None"	"470.38"	"0"	"2.59"	"24k"	"Cc1nc2nc(C(=O)N(C)CCS(C)(=O)=O)cn2c(-c2ccc(Cl)cc2Cl)c1CN"	"Ki"	"'='"	"0.3"	"nM"	"9.52"	""	""	"UO_0000065"	"20.25"	"0.43"	"6.93"	"8.61"	"0"	"CHEMBL1218970"	"Inhibition of human recombinant DPP4 assessed as Gly-Pro-pNA cleavage"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1212920"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""
"CHEMBL1215163"	""	"None"	"431.28"	"0"	"3.39"	"24n"	"Cc1nc2nc(C(=O)NCc3ncco3)cn2c(-c2ccc(Cl)cc2Cl)c1CN"	"Ki"	"'='"	"2.0"	"nM"	"8.70"	""	""	"UO_0000065"	"20.17"	"0.41"	"5.31"	"7.81"	"0"	"CHEMBL1218970"	"Inhibition of human recombinant DPP4 assessed as Gly-Pro-pNA cleavage"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1212920"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""
